contrast,nrel_id,Side,year_a,year_b,tracer_a,tracer_b,n_a,n_b,pmax_a_raw,pmax_b_raw,delta_raw_pct,comparability_raw_sensitivity,same_instrument,source_bridge_applied
2019_to_2024,M1812-0011,front,2019,2024,Spire 5600,Spire 5600,2,1,381.4,377.54,-1.0120608285264732,C2,True,False
2019_to_2024,M1812-0011,rear,2019,2024,Spire 5600,Spire 5600,1,1,337.3,332.8,-1.3341239252890547,C2,True,False
2019_to_2024,M1812-0030,front,2019,2024,Spire 5600,Spire 5600,1,1,386.9,350.35,-9.44688550012922,C2,True,False
2019_to_2024,M1812-0030,rear,2019,2024,Spire 5600,Spire 5600,1,1,333.7,310.86,-6.844471081809999,C2,True,False
2019_to_2024,M1901-0001,mono,2019,2024,Spire 5600,Spire 5600,3,1,358.9,346.85,-3.3574811925327297,C2,True,False
2019_to_2024,M1901-0004,mono,2019,2024,Spire 5600,Spire 5600,2,1,364.2,358.08,-1.6803953871499244,C2,True,False
2019_to_2024,M1905-0005,front,2019,2024,Spire 5600,Spire 5600,2,1,354.29999999999995,345.69,-2.430143945808627,C2,True,False
2019_to_2024,M1905-0022,front,2019,2024,Spire 5600,Spire 5600,1,1,347.7,334.54,-3.7848720161058336,C2,True,False
2019_to_2024,M1905-0022,rear,2019,2024,Spire 5600,Spire 5600,1,1,240.2,234.96,-2.1815154038301365,C2,True,False
2019_to_2022,M1812-0010,front,2019,2022,Spire 5600,Spire 4600,2,1,386.35,384.4,-0.5047236961304602,C1,False,False
2019_to_2022,M1812-0010,front,2019,2022,Spire 5600,Spire 5600,2,1,386.35,385.4,-0.24589103144817548,C2,True,False
2019_to_2022,M1812-0010,rear,2019,2022,Spire 5600,Spire 4600,1,1,332.5,330.0,-0.7518796992481258,C1,False,False
2019_to_2022,M1812-0010,rear,2019,2022,Spire 5600,Spire 5600,1,1,332.5,332.5,0.0,C2,True,False
2019_to_2022,M1812-0011,front,2019,2022,Spire 5600,Spire 4600,2,1,381.4,378.8,-0.6816990036706772,C1,False,False
2019_to_2022,M1812-0011,front,2019,2022,Spire 5600,Spire 5600,2,1,381.4,381.2,-0.052438384897746104,C2,True,False
2019_to_2022,M1812-0011,rear,2019,2022,Spire 5600,Spire 4600,1,1,337.3,333.9,-1.0080047435517492,C1,False,False
2019_to_2022,M1812-0011,rear,2019,2022,Spire 5600,Spire 5600,1,1,337.3,330.6,-1.98636228876371,C2,True,False
2019_to_2022,M1812-0030,front,2019,2022,Spire 5600,Spire 4600,1,1,386.9,358.9,-7.237012147841815,C1,False,False
2019_to_2022,M1812-0030,rear,2019,2022,Spire 5600,Spire 4600,1,1,333.7,315.3,-5.513934671860943,C1,False,False
2019_to_2022,M1812-0031,front,2019,2022,Spire 5600,Spire 4600,1,1,387.7,356.2,-8.124838792881095,C1,False,False
