nrel_id,Side,tracer_a,tracer_b,median_replicate_delta_pct,first_documented_sweep_delta_pct,contrast,first_minus_median_pp,sign_change_due_to_replicate_summary
M1812-0011,front,Spire 5600,Spire 5600,-1.0120608285264732,-0.6996317727511747,2019_to_2024,0.31242905577529845,False
M1812-0011,rear,Spire 5600,Spire 5600,-1.3341239252890547,-1.3341239252890547,2019_to_2024,0.0,False
M1812-0030,front,Spire 5600,Spire 5600,-9.44688550012922,-9.44688550012922,2019_to_2024,0.0,False
M1812-0030,rear,Spire 5600,Spire 5600,-6.844471081809999,-6.844471081809999,2019_to_2024,0.0,False
M1901-0001,mono,Spire 5600,Spire 5600,-3.3574811925327297,-3.4381959910913085,2019_to_2024,-0.08071479855857877,False
M1901-0004,mono,Spire 5600,Spire 5600,-1.6803953871499244,-1.8151905675897972,2019_to_2024,-0.13479518043987282,False
M1905-0005,front,Spire 5600,Spire 5600,-2.430143945808627,-2.45767494356659,2019_to_2024,-0.02753099775796297,False
M1905-0022,front,Spire 5600,Spire 5600,-3.7848720161058336,-3.7848720161058336,2019_to_2024,0.0,False
M1905-0022,rear,Spire 5600,Spire 5600,-2.1815154038301365,-2.1815154038301365,2019_to_2024,0.0,False
M1812-0010,front,Spire 5600,Spire 5600,-0.24589103144817548,0.12990387113536173,2019_to_2022,0.3757949025835372,True
M1812-0010,rear,Spire 5600,Spire 5600,0.0,0.0,2019_to_2022,0.0,False
M1812-0011,front,Spire 5600,Spire 5600,-0.052438384897746104,0.2630194634402949,2019_to_2022,0.315457848338041,True
M1812-0011,rear,Spire 5600,Spire 5600,-1.98636228876371,-1.98636228876371,2019_to_2022,0.0,False
M1901-0001,mono,Spire 5600,Spire 5600,-2.145444413485642,-2.2271714922049046,2019_to_2022,-0.08172707871926255,False
M1901-0004,mono,Spire 5600,Spire 5600,-0.6589785831960349,-0.7951741157115388,2019_to_2022,-0.13619553251550398,False
M1905-0005,front,Spire 5600,Spire 5600,-2.173299463731282,-2.20090293453723,2019_to_2022,-0.02760347080594805,False
M1905-0020,front,Spire 5600,Spire 5600,-4.221784407542916,-4.221784407542916,2019_to_2022,0.0,False
M1905-0020,rear,Spire 5600,Spire 5600,-4.242664551942898,-4.242664551942898,2019_to_2022,0.0,False
M1905-0022,front,Spire 5600,Spire 5600,-3.4656312913431186,-3.45125107851596,2019_to_2022,0.014380212827158623,False
M1905-0022,rear,Spire 5600,Spire 5600,-2.164862614487917,-2.164862614487917,2019_to_2022,0.0,False
M1812-0011,front,Spire 5600,Spire 5600,-0.9601259181531874,-0.9601259181531874,2022_to_2024,0.0,False
M1812-0011,rear,Spire 5600,Spire 5600,0.6654567453115545,0.6654567453115545,2022_to_2024,0.0,False
M1901-0001,mono,Spire 5600,Spire 5600,-1.2386104783599028,-1.2386104783599028,2022_to_2024,0.0,False
M1901-0004,mono,Spire 5600,Spire 5600,-1.0281923714759555,-1.0281923714759555,2022_to_2024,0.0,False
M1905-0005,front,Spire 5600,Spire 5600,-0.2625504904789411,-0.2625504904789411,2022_to_2024,0.0,False
M1905-0005,rear,Spire 5600,Spire 5600,0.2387550628863755,0.21739130434783593,2022_to_2024,-0.021363758538539557,False
M1905-0022,front,Spire 5600,Spire 5600,-0.3307016237151683,-0.3455466190050549,2022_to_2024,-0.014844995289886587,False
M1905-0022,rear,Spire 5600,Spire 5600,-0.017021276595741153,-0.017021276595741153,2022_to_2024,0.0,False
M2003-0001,front,Spire 5600,Spire 5600,-0.9977827050997812,-0.9977827050997812,2022_to_2024,0.0,False
M2003-0001,rear,Spire 5600,Spire 5600,-1.1836578846888046,-1.1836578846888046,2022_to_2024,0.0,False
M2003-0014,front,Spire 5600,Spire 5600,-1.535455053042989,-1.535455053042989,2022_to_2024,0.0,False
M2003-0014,rear,Spire 5600,Spire 5600,-1.4459665144596734,-1.4459665144596734,2022_to_2024,0.0,False
