nrel_id,Side,year,tracer,n_sweeps,raw_pmax,corr_pmax_count,corr_factor_count,corrected_temp
M1812-0010,front,2019.0,Spire 5600,2,386.35,0,0,
M1812-0010,front,2022.0,Spire 4600,1,384.4,0,0,25.0
M1812-0010,front,2022.0,Spire 5600,1,385.4,0,0,
M1812-0010,rear,2019.0,Spire 5600,1,332.5,0,0,
M1812-0010,rear,2022.0,Spire 4600,1,330.0,0,0,25.0
M1812-0010,rear,2022.0,Spire 5600,1,332.5,0,0,
M1812-0011,front,2019.0,Spire 5600,2,381.4,0,0,
M1812-0011,front,2022.0,Spire 4600,1,378.8,0,0,25.0
M1812-0011,front,2022.0,Spire 5600,1,381.2,0,0,
M1812-0011,front,2024.0,Spire 5600,1,377.54,0,0,
M1812-0011,rear,2019.0,Spire 5600,1,337.3,0,0,
M1812-0011,rear,2022.0,Spire 4600,1,333.9,0,0,25.0
M1812-0011,rear,2022.0,Spire 5600,1,330.6,0,0,
M1812-0011,rear,2024.0,Spire 5600,1,332.8,0,0,
M1812-0016,front,2022.0,Spire 4600,1,352.0,0,0,25.0
M1812-0016,rear,2022.0,Spire 4600,1,319.8,0,0,25.0
M1812-0018,front,2022.0,Spire 4600,1,353.2,0,0,25.0
M1812-0018,rear,2022.0,Spire 4600,1,305.7,0,0,25.0
M1812-0025,front,2022.0,Spire 4600,1,354.8,0,0,25.0
M1812-0025,rear,2022.0,Spire 4600,1,316.7,0,0,25.0
M1812-0026,front,2022.0,Spire 4600,1,352.9,0,0,25.0
M1812-0026,rear,2022.0,Spire 4600,1,310.3,0,0,25.0
M1812-0030,front,2019.0,Spire 5600,1,386.9,0,0,
M1812-0030,front,2022.0,Spire 4600,1,358.9,0,0,25.0
M1812-0030,front,2024.0,Spire 5600,1,350.35,0,0,
M1812-0030,rear,2019.0,Spire 5600,1,333.7,0,0,
M1812-0030,rear,2022.0,Spire 4600,1,315.3,0,0,25.0
M1812-0030,rear,2024.0,Spire 5600,1,310.86,0,0,
M1812-0031,front,2019.0,Spire 5600,1,387.7,0,0,
M1812-0031,front,2022.0,Spire 4600,1,356.2,0,0,25.0
M1812-0032,front,2019.0,Spire 5600,1,388.6,0,0,
M1812-0032,front,2022.0,Spire 4600,1,358.7,0,0,25.0
M1812-0032,rear,2019.0,Spire 5600,1,335.7,0,0,
M1812-0032,rear,2022.0,Spire 4600,2,317.70000000000005,0,0,25.0
M1812-0033,front,2019.0,Spire 5600,1,385.3,0,0,
M1812-0033,front,2022.0,Spire 4600,1,355.2,0,0,25.0
M1812-0033,rear,2019.0,Spire 5600,1,323.0,0,0,
M1812-0033,rear,2022.0,Spire 4600,1,307.2,0,0,25.0
M1901-0001,mono,2019.0,Spire 5600,3,358.9,0,0,
M1901-0001,mono,2022.0,Spire 5600,1,351.2,0,0,
M1901-0001,mono,2024.0,Spire 5600,1,346.85,0,0,
M1901-0004,mono,2019.0,Spire 5600,2,364.2,0,0,
M1901-0004,mono,2022.0,Spire 5600,1,361.8,0,0,
M1901-0004,mono,2024.0,Spire 5600,1,358.08,0,0,
M1905-0005,front,2019.0,Spire 5600,2,354.29999999999995,0,0,
M1905-0005,front,2022.0,Spire 5600,2,346.6,0,0,
M1905-0005,front,2024.0,Spire 5600,1,345.69,0,0,
M1905-0005,rear,2022.0,Spire 5600,2,234.55,0,0,
M1905-0005,rear,2024.0,Spire 5600,1,235.11,0,0,
M1905-0020,front,2019.0,Spire 5600,1,355.3,0,0,
M1905-0020,front,2022.0,Spire 5600,2,340.3,0,0,
M1905-0020,rear,2019.0,Spire 5600,1,252.2,0,0,
M1905-0020,rear,2022.0,Spire 5600,2,241.5,0,0,
M1905-0022,front,2019.0,Spire 5600,1,347.7,0,0,
M1905-0022,front,2022.0,Spire 5600,2,335.65,0,0,
M1905-0022,front,2024.0,Spire 5600,1,334.54,0,0,
M1905-0022,rear,2019.0,Spire 5600,1,240.2,0,0,
M1905-0022,rear,2022.0,Spire 5600,2,235.0,0,0,
M1905-0022,rear,2024.0,Spire 5600,1,234.96,0,0,
M2003-0001,front,2022.0,Spire 5600,1,360.8,0,0,
M2003-0001,front,2024.0,Spire 5600,1,357.2,0,0,
M2003-0001,rear,2022.0,Spire 5600,1,261.9,0,0,
M2003-0001,rear,2024.0,Spire 5600,1,258.8,0,0,
M2003-0014,front,2022.0,Spire 5600,1,358.2,0,0,
M2003-0014,front,2024.0,Spire 5600,1,352.7,0,0,
M2003-0014,rear,2022.0,Spire 5600,1,262.8,0,0,
M2003-0014,rear,2024.0,Spire 5600,1,259.0,0,0,
